id,case_type,system,instruction,input,output,vertical,views,likes,comments,hours_since_publish,views_per_hour,retention_pct,sentimiento_positivo_pct,sentimiento_neutral_pct,sentimiento_negativo_pct,ocr_relevance_pct,cta_visible,composition_score,hook_type,tone,policy_risk,source_inspiration
1,guion,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: marca de alimentos saludables. Título: campaña con enfoque historia personal. Descripción: contenido de tono informativo. Views: 3200. Likes: 55. Comentarios: 24. Horas desde publicación: 48. Views por hora: 66.7. Retención: 31%. Sentimiento positivo: 56%. Sentimiento neutral: 8%. Sentimiento negativo: 36%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 12%. CTA visible: sí. Composición visual: 81/100. Riesgo de políticas: bajo. Transcripción: presenta un beneficio claro pero tarda en explicar la oferta. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **marca de alimentos saludables** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 81/100 y una retención de 31%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",marca de alimentos saludables,3200,55,24,48,66.7,31,56,8,36,12,sí,81,historia personal,informativo,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
2,ocr,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: tienda de tecnología. Título: campaña con enfoque testimonio. Descripción: contenido de tono humorístico. Views: 1200. Likes: 81. Comentarios: 21. Horas desde publicación: 240. Views por hora: 5.0. Retención: 38%. Sentimiento positivo: 46%. Sentimiento neutral: 48%. Sentimiento negativo: 6%. OCR text: 'Más de 500 clientes satisfechos'. Relevancia OCR: 59%. CTA visible: no. Composición visual: 66/100. Riesgo de políticas: medio. Transcripción: muestra el producto en uso y cierra con una invitación. Palabras frecuentes del público: rápido, útil, recomendado, fácil.","### Resumen

El contenido para **tienda de tecnología** se considera **viable para una prueba de pauta**. El sentimiento dominante es **neutral**, con una composición de 66/100 y una retención de 38%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **testimonio** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 6%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",tienda de tecnología,1200,81,21,240,5.0,38,46,48,6,59,no,66,testimonio,humorístico,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
3,ocr,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: evento cultural. Título: campaña con enfoque historia personal. Descripción: contenido de tono informativo. Views: 78000. Likes: 1927. Comentarios: 789. Horas desde publicación: 120. Views por hora: 650.0. Retención: 53%. Sentimiento positivo: 22%. Sentimiento neutral: 51%. Sentimiento negativo: 27%. OCR text: 'Aprende paso a paso desde cero'. Relevancia OCR: 37%. CTA visible: no. Composición visual: 73/100. Riesgo de políticas: bajo. Transcripción: incluye un descuento pero el texto visual aparece muy rápido. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **evento cultural** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 73/100 y una retención de 53%.

### Hallazgos principales

- La tracción es aceptable, pero conviene validar con un presupuesto controlado.
- La retención es saludable y sugiere que el contenido logra sostener atención.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 27%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",evento cultural,78000,1927,789,120,650.0,53,22,51,27,37,no,73,historia personal,informativo,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
4,metricas,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: servicio B2B. Título: campaña con enfoque comparación. Descripción: contenido de tono emocional. Views: 3200. Likes: 61. Comentarios: 20. Horas desde publicación: 72. Views por hora: 44.4. Retención: 24%. Sentimiento positivo: 22%. Sentimiento neutral: 51%. Sentimiento negativo: 27%. OCR text: 'Envío gratis por tiempo limitado'. Relevancia OCR: 24%. CTA visible: no. Composición visual: 88/100. Riesgo de políticas: bajo. Transcripción: muestra el producto en uso y cierra con una invitación. Palabras frecuentes del público: caro, demora, confuso, reclamo.","### Resumen

El contenido para **servicio B2B** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 88/100 y una retención de 24%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **comparación** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 27%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",servicio B2B,3200,61,20,72,44.4,24,22,51,27,24,no,88,comparación,emocional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
5,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: emprendimiento local. Título: campaña con enfoque comparación. Descripción: contenido de tono corporativo. Views: 3200. Likes: 233. Comentarios: 16. Horas desde publicación: 48. Views por hora: 66.7. Retención: 31%. Sentimiento positivo: 46%. Sentimiento neutral: 18%. Sentimiento negativo: 36%. OCR text: 'Compra hoy con descuento limitado'. Relevancia OCR: 48%. CTA visible: sí. Composición visual: 66/100. Riesgo de políticas: bajo. Transcripción: usa una historia breve para mostrar el problema del usuario. Palabras frecuentes del público: caro, demora, confuso, reclamo.","### Resumen

El contenido para **emprendimiento local** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 66/100 y una retención de 31%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **comparación** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",emprendimiento local,3200,233,16,48,66.7,31,46,18,36,48,sí,66,comparación,corporativo,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
6,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: marca de belleza. Título: campaña con enfoque testimonio. Descripción: contenido de tono emocional. Views: 3200. Likes: 112. Comentarios: 75. Horas desde publicación: 120. Views por hora: 26.7. Retención: 38%. Sentimiento positivo: 58%. Sentimiento neutral: 15%. Sentimiento negativo: 27%. OCR text: 'Nueva colección disponible'. Relevancia OCR: 48%. CTA visible: no. Composición visual: 81/100. Riesgo de políticas: bajo. Transcripción: incluye un descuento pero el texto visual aparece muy rápido. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **marca de belleza** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 81/100 y una retención de 38%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **testimonio** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 27%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",marca de belleza,3200,112,75,120,26.7,38,58,15,27,48,no,81,testimonio,emocional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
7,composicion_visual,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: gimnasio. Título: campaña con enfoque historia personal. Descripción: contenido de tono aspiracional. Views: 15000. Likes: 1646. Comentarios: 64. Horas desde publicación: 720. Views por hora: 20.8. Retención: 24%. Sentimiento positivo: 22%. Sentimiento neutral: 67%. Sentimiento negativo: 11%. OCR text: 'Nueva colección disponible'. Relevancia OCR: 12%. CTA visible: sí. Composición visual: 88/100. Riesgo de políticas: medio. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **gimnasio** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 88/100 y una retención de 24%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- La relevancia del texto en pantalla es baja; conviene usar copy visual más claro.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- El CTA visible ayuda a cerrar la intención.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 11%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",gimnasio,15000,1646,64,720,20.8,24,22,67,11,12,sí,88,historia personal,aspiracional,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
8,ocr,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: agencia de viajes. Título: campaña con enfoque historia personal. Descripción: contenido de tono emocional. Views: 42000. Likes: 4504. Comentarios: 909. Horas desde publicación: 6. Views por hora: 7000.0. Retención: 24%. Sentimiento positivo: 46%. Sentimiento neutral: 36%. Sentimiento negativo: 18%. OCR text: 'Más de 500 clientes satisfechos'. Relevancia OCR: 59%. CTA visible: no. Composición visual: 81/100. Riesgo de políticas: bajo. Transcripción: presenta un beneficio claro pero tarda en explicar la oferta. Palabras frecuentes del público: interesante, dudas, información, tutorial.","### Resumen

El contenido para **agencia de viajes** se considera **viable para una prueba de pauta**. El sentimiento dominante es **positivo**, con una composición de 81/100 y una retención de 24%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **historia personal** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **bajo**.
- Sentimiento negativo: 18%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",agencia de viajes,42000,4504,909,6,7000.0,24,46,36,18,59,no,81,historia personal,emocional,bajo,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
9,sentimiento,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: agencia de viajes. Título: campaña con enfoque pregunta directa. Descripción: contenido de tono informativo. Views: 3200. Likes: 312. Comentarios: 26. Horas desde publicación: 48. Views por hora: 66.7. Retención: 31%. Sentimiento positivo: 34%. Sentimiento neutral: 30%. Sentimiento negativo: 36%. OCR text: 'Compra hoy con descuento limitado'. Relevancia OCR: 84%. CTA visible: no. Composición visual: 58/100. Riesgo de políticas: alto. Transcripción: explica características, aunque falta una promesa más concreta. Palabras frecuentes del público: calidad, precio, envío, atención.","### Resumen

El contenido para **agencia de viajes** se considera **no recomendable para pauta hasta corregir riesgos**. El sentimiento dominante es **negativo**, con una composición de 58/100 y una retención de 31%.

### Hallazgos principales

- La tracción inicial es limitada; antes de pautar conviene mejorar el contenido o segmentación.
- La retención es moderada; hay interés, pero el ritmo o el hook pueden reforzarse.
- El texto en pantalla acompaña bien el mensaje y puede reforzar la conversión.
- La composición es funcional, aunque todavía puede ordenarse mejor el foco visual.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **pregunta directa** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **alto**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",agencia de viajes,3200,312,26,48,66.7,31,34,30,36,84,no,58,pregunta directa,informativo,alto,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
10,guion,"Eres un analista senior de marketing, contenido audiovisual y pauta digital. Responde siempre en español claro, profesional y accionable. No uses JSON. Usa secciones breves: Resumen, Hallazgos, Riesgos, Recomendaciones y Conclusión.","Genera una recomendación de marketing en español para decidir si este video debe pautarse, mejorarse o descartarse.","Analiza un video de YouTube para pauta. Vertical: emprendimiento local. Título: campaña con enfoque testimonio. Descripción: contenido de tono humorístico. Views: 42000. Likes: 1585. Comentarios: 284. Horas desde publicación: 12. Views por hora: 3500.0. Retención: 24%. Sentimiento positivo: 22%. Sentimiento neutral: 42%. Sentimiento negativo: 36%. OCR text: 'Resultados visibles en 7 días'. Relevancia OCR: 48%. CTA visible: no. Composición visual: 81/100. Riesgo de políticas: medio. Transcripción: usa testimonio y prueba social para generar confianza. Palabras frecuentes del público: caro, demora, confuso, reclamo.","### Resumen

El contenido para **emprendimiento local** se considera **viable con ajustes antes de escalar**. El sentimiento dominante es **neutral**, con una composición de 81/100 y una retención de 24%.

### Hallazgos principales

- La tracción temprana es fuerte y puede justificar una prueba rápida de inversión.
- La retención es baja; el principal ajuste debe estar en los primeros segundos.
- El texto en pantalla aporta parcialmente, pero debería ser más directo y persistente.
- La composición visual es sólida: favorece atención, balance y lectura rápida.
- La falta de CTA visible reduce claridad de acción.
- El hook de tipo **testimonio** puede funcionar si comunica el beneficio en los primeros segundos.

### Riesgos

- Riesgo de políticas: **medio**.
- Sentimiento negativo: 36%, lo que debe revisarse si supera el nivel esperado para la categoría.
- Si el mensaje principal no aparece rápido, la pieza puede perder rendimiento en móvil.

### Recomendaciones

- Reforzar el beneficio principal en el primer tercio del video.
- Mantener el CTA visible durante los segundos de mayor atención.
- Usar el texto en pantalla para resumir promesa, prueba o urgencia, no como elemento decorativo.
- Probar una variante con hook más directo y menor carga visual.
- Si se pauta, iniciar con presupuesto controlado y comparar retención, CTR y comentarios negativos.

### Conclusión

La pieza puede avanzar si se corrigen los puntos débiles detectados. La decisión final debe depender de si el objetivo es alcance, interacción o conversión directa.",emprendimiento local,42000,1585,284,12,3500.0,24,22,42,36,48,no,81,testimonio,humorístico,medio,"Curado/sintético para SFT; inspirado en datasets públicos de prompts multilingües y texto social en español, no copia filas textuales."
